module_id,module,filename
referencelibrary,Reference library,example_odk_reference_library.xlsx
sampling,Sampling,example_odk_Sampling.xlsx
scaledphoto,Image annotation and redaction,example_odk_scaled_photo.capture.xlsx
scoring,Scoring & counters,example_odk_score.counter.xlsx
scoring,Scoring & counters,example_odk_score.high_score.xlsx
scoring,Scoring & counters,example_odk_score.match.xlsx
scoring,Scoring & counters,example_odk_score.race_to.xlsx
scoring,Scoring & counters,example_odk_score.rounds.xlsx
scoring,Scoring & counters,example_odk_score.session.finish.xlsx
scoring,Scoring & counters,example_odk_score.session.read.xlsx
scoring,Scoring & counters,example_odk_score.session.resume.xlsx
scoring,Scoring & counters,example_odk_score.set_match.xlsx
scoring,Scoring & counters,example_odk_score.sports.xlsx
scoring,Scoring & counters,example_odk_score.tally.xlsx
sensorread,ESP32 sensor framework,example_odk_sensorread.xlsx
sms,Send SMS,example_odk_sms.send.xlsx
soundgenerator,Sound generator,example_odk_SoundGenerator.xlsx
spatialgeometry,Spatial geometry,example_odk_spatialgeometry.xlsx
surveying,Surveying,example_odk_survey_bearing_distance.xlsx
surveying,Surveying,example_odk_survey_level_reduce.xlsx
surveying,Surveying,example_odk_survey_traverse.xlsx
svgselector,SVG polygon selector,example_odk_svg.select.xlsx
tabletoputilities,Tabletop utilities,example_odk_TabletopUtilities.xlsx
texttools,Text tools,example_odk_text_tools.xlsx
time_tools,Time Tools,example_odk_time_tools.xlsx
trustedtimestamp,Trusted timestamp,example_odk_integrity.trusted_timestamp.xlsx
visualacuity,Visual acuity,example_odk_VisualAcuity.xlsx
webactions,Web Actions,example_odk_web.odk_central_roundtrip.xlsx
webactions,Web Actions,example_odk_web.open.xlsx
webactions,Web Actions,example_odk_web.precooked_enketo.xlsx
webactions,Web Actions,example_odk_web.roundtrip.xlsx
